list,brand,domain,region,category,priority,note
suggested,Maria Black,mariablack.com,DK,Jewellery,High,Strong Danish D2C jewellery next to tracked Sophie Bille Brahe / Foundrae
suggested,Foreo,foreo.com,SE,Beauty tech,High,Swedish beauty-tech D2C; very high email volume
suggested,Sezane,sezane.com,FR,Fashion,High,Widely regarded best-in-class D2C email; major benchmark
suggested,Bloom & Wild,bloomandwild.com,UK,Flowers/Gifting,High,Famously well-run lifecycle email program
suggested,Rituals,rituals.com,NL,Beauty,High,Very high-volume European email program
suggested,Suitsupply,suitsupply.com,NL,Menswear,High,Strong European D2C with distinctive campaigns
suggested,Ace & Tate,aceandtate.com,NL,Eyewear,High,European D2C eyewear; category still empty
suggested,Birkenstock,birkenstock.com,DE,Footwear,High,Major European footwear D2C
suggested,Armedangels,armedangels.com,DE,Fashion,High,Sustainability-led German D2C
suggested,On,on.com,CH,Activewear,High,Major European activewear omission
suggested,Adanola,adanola.com,UK,Activewear,High,Fast-growing UK activewear D2C
suggested,Flying Tiger Copenhagen,flyingtiger.com,DK,Retail,High,High-volume Danish variety retail; strong promo email
suggested,Son of a Tailor,sonofatailor.com,DK,Menswear,Medium,Made-to-order D2C; unusually data-driven flows
suggested,Les Deux,lesdeux.com,DK,Menswear,Medium,Mainstream Danish menswear currently uncovered
suggested,Han Kjobenhavn,hankjobenhavn.com,DK,Fashion,Medium,Copenhagen fashion next to tracked Soulland / mfpen
suggested,Saks Potts,sakspotts.com,DK,Fashion,Medium,Copenhagen fashion next to tracked Stine Goya
suggested,Libertine-Libertine,libertine-libertine.com,DK,Fashion,Medium,Copenhagen fashion D2C
suggested,Sofie Schnoor,sofieschnoor.com,DK,Fashion,Medium,Danish fashion with broad range
suggested,Resume,resume.dk,DK,Fashion,Low,Danish fashion
suggested,Custommade,custommade.com,DK,Fashion,Low,Danish fashion
suggested,Day Birger et Mikkelsen,day.dk,DK,Fashion,Low,Danish fashion
suggested,Ilse Jacobsen,ilsejacobsen.com,DK,Footwear/Rainwear,Medium,Danish rainwear and footwear; pairs with Rains
suggested,A. Kjaerbede,akjaerbede.com,DK,Eyewear,Medium,Danish D2C eyewear; category still empty
suggested,Skagen,skagen.com,DK,Watches,Low,Danish watches; category thin
suggested,Pernille Corydon,pernillecorydon.com,DK,Jewellery,Medium,Danish D2C jewellery
suggested,Jane Konig,janekonig.com,DK,Jewellery,Low,Danish D2C jewellery
suggested,Libratone,libratone.com,DK,Electronics,Medium,Danish audio D2C; electronics category still empty
suggested,AIAIAI,aiaiai.audio,DK,Electronics,Low,Danish audio D2C
suggested,SACKit,sackit.dk,DK,Electronics,Low,Danish audio and lifestyle electronics
suggested,Kahler,kahlerdesign.com,DK,Homeware,Medium,Danish ceramics next to tracked Stelton / Eva Solo
suggested,Holmegaard,holmegaard.com,DK,Homeware,Medium,Danish glassware next to tracked Rosendahl
suggested,Design Letters,designletters.com,DK,Homeware,Medium,Danish design D2C with strong campaign email
suggested,OYOY Living Design,oyoy.com,DK,Interiors,Low,Danish interiors D2C
suggested,Bodum,bodum.com,DK,Kitchen,Medium,Kitchen D2C; category absent despite deep interiors coverage
suggested,Skagerak,skagerak.dk,DK,Furniture,Medium,Danish design gap next to tracked Fritz Hansen / Fredericia
suggested,Woud,woud.com,DK,Furniture,Medium,Danish design gap next to tracked Muuto / Hay
suggested,Umage,umage.com,DK,Lighting,Medium,Danish lighting next to tracked Louis Poulsen / Le Klint
suggested,By Lassen,bylassen.com,DK,Furniture,Low,Danish design gap
suggested,House Doctor,housedoctor.dk,DK,Interiors,Medium,Volume Danish interiors next to tracked Broste / Hubsch
suggested,Bloomingville,bloomingville.com,DK,Interiors,Medium,Volume Danish interiors next to tracked Broste / Hubsch
suggested,Illums Bolighus,illumsbolighus.com,DK,Interiors,Medium,Danish design retail; broad catalogue email
suggested,Magasin du Nord,magasin.dk,DK,Department store,Medium,Danish department store; high email volume
suggested,Soft Gallery,softgallery.com,DK,Kids,Medium,Danish kidswear next to tracked Liewood / Konges Slojd
suggested,Done by Deer,donebydeer.com,DK,Kids,Low,Danish kids and nursery D2C
suggested,Sebra,sebra.dk,DK,Kids,Low,Danish kids and nursery D2C
suggested,Nilens Jord,nilensjord.com,DK,Beauty,Medium,Danish clean beauty next to tracked Rudolph Care / Verso
suggested,Karmameju,karmameju.com,DK,Beauty,Low,Danish skincare D2C
suggested,Nemlig.com,nemlig.com,DK,Grocery,Medium,Danish grocery D2C next to tracked Rema1000 / COOP
suggested,Simple Feast,simplefeast.com,DK,Food,Low,Danish food D2C
suggested,Puori,puori.com,DK,Supplements,Medium,Danish supplements D2C; category absent
suggested,Axel Arigato,axelarigato.com,SE,Footwear,High,Drop-driven D2C footwear at scale
suggested,Toteme,toteme-studio.com,SE,Fashion,High,Reference point for Nordic minimal luxury
suggested,NA-KD,na-kd.com,SE,Fashion,High,Very high email volume; useful cadence benchmark
suggested,& Other Stories,stories.com,SE,Fashion,High,H&M group sibling to tracked ARKET / COS
suggested,Oatly,oatly.com,SE,Food,High,Food/bev D2C absent; distinctive brand voice
suggested,Our Legacy,ourlegacy.com,SE,Fashion,Medium,Strong drop-driven campaigns
suggested,A Day's March,adaysmarch.com,SE,Menswear,Medium,Swedish menswear D2C
suggested,Gina Tricot,ginatricot.com,SE,Fashion,Medium,Swedish high-street; high email volume
suggested,Polarn O. Pyret,polarnopyret.com,SE,Kids,Medium,Swedish kidswear next to tracked Mini Rodini
suggested,Nudie Jeans,nudiejeans.com,SE,Denim,Medium,Denim category entirely uncovered
